university,country,Group,climate_score,social_score,gender_score,overall_score,Climate_Rank,Social_Justice_Rank,Gender_Rank,Overall_Rank,Russell_Ivy_Combined_Climate_Rank,Russell_Ivy_Combined_Social_Justice_Rank,Russell_Ivy_Combined_Gender_Rank,Russell_Ivy_Combined_Overall_Rank,Country_Climate_Rank,Country_Social_Justice_Rank,Country_Gender_Rank,Country_Overall_Rank
"AT Still University, US",US,Other,0.0,0.3968104002116322,0.04534976002418654,0.4421601602358188,1142.0,156.0,149.0,241.0,,,,,885.0,140.0,126.0,192.0
"Abertay University, UK",UK,Other,0.077035667514059,0.015407133502811803,0.0,0.09244280101687082,433.0,1346.0,609.0,1004.0,,,,,95.0,121.0,43.0,120.0
"Aberystwyth University, UK",UK,Other,0.0673854447439353,0.0,0.0,0.0673854447439353,460.0,1583.0,609.0,1116.0,,,,,100.0,135.0,43.0,132.0
"Abilene Christian University, US",US,Other,0.2067441363085478,0.04277464889142368,0.0,0.24951878519997148,143.0,998.0,609.0,518.0,,,,,92.0,806.0,523.0,405.0
"Abraham Baldwin Agricultural College, US",US,Other,0.0,0.0,0.0,0.0,1142.0,1583.0,609.0,1694.0,,,,,885.0,1311.0,523.0,1404.0
"Academy of Art University, US",US,Other,0.012669453946534905,0.0031673634866337262,0.0,0.01583681743316863,893.0,1579.0,609.0,1529.0,,,,,652.0,1307.0,523.0,1245.0
"Acadia University, CA",CA,Other,0.09929573579979037,0.1820421822996157,0.0,0.28133791809940606,351.0,440.0,609.0,449.0,,,,,24.0,28.0,21.0,29.0
"Adams State University, US",US,Other,0.0,0.3336604514229637,0.0,0.3336604514229637,1142.0,217.0,609.0,360.0,,,,,885.0,189.0,523.0,284.0
"Adelphi University, US",US,Other,0.1537545878385081,0.8778890983037397,0.0,1.0316436861422478,223.0,16.0,609.0,30.0,,,,,139.0,15.0,523.0,24.0
"Adler Graduate School, US",US,Other,0.009009414838506239,0.2297400783819091,0.0,0.23874949322041533,987.0,351.0,609.0,543.0,,,,,741.0,300.0,523.0,421.0
"Adrian College, US",US,Other,0.0,0.0,0.0,0.0,1142.0,1583.0,609.0,1694.0,,,,,885.0,1311.0,523.0,1404.0
"AdventHealth University, US",US,Other,0.0,0.02609830361026533,0.0,0.02609830361026533,1142.0,1179.0,609.0,1402.0,,,,,885.0,954.0,523.0,1127.0
"Agnes Scott College, US",US,Other,0.008059966148142177,0.04029983074071089,0.016119932296284355,0.06447972918513742,1008.0,1018.0,314.0,1133.0,,,,,762.0,821.0,274.0,878.0
"Air Force Institute of Technology, US",US,Other,0.015735641227380016,0.0,0.0,0.015735641227380016,839.0,1583.0,609.0,1532.0,,,,,600.0,1311.0,523.0,1248.0
"Alabama AM University, US",US,Other,0.0,0.11861458168590859,0.023722916337181717,0.14233749802309031,1142.0,615.0,234.0,830.0,,,,,885.0,510.0,203.0,633.0
"Alabama State University, US",US,Other,0.0,0.0,0.0,0.0,1142.0,1583.0,609.0,1694.0,,,,,885.0,1311.0,523.0,1404.0
"Alaska Bible College, US",US,Other,0.0,0.0,0.0,0.0,1142.0,1583.0,609.0,1694.0,,,,,885.0,1311.0,523.0,1404.0
"Alaska Pacific University, US",US,Other,0.06535093451836362,0.06535093451836362,0.0,0.13070186903672723,470.0,845.0,609.0,871.0,,,,,302.0,683.0,523.0,667.0
"Albany College of Pharmacy and Health Sciences, US",US,Other,0.007639419404125287,0.015278838808250574,0.0,0.02291825821237586,1031.0,1352.0,609.0,1424.0,,,,,784.0,1101.0,523.0,1148.0
"Albany Law School, US",US,Other,0.02201794462486927,0.21467496009247536,0.016513458468651952,0.2532063631859966,745.0,375.0,309.0,511.0,,,,,517.0,321.0,269.0,399.0
"Albany State University, US",US,Other,0.015913430935709738,0.031826861871419476,0.0,0.047740292807129214,836.0,1108.0,609.0,1225.0,,,,,597.0,894.0,523.0,964.0
"Albertus Magnus College, US",US,Other,0.043984165700347876,0.03198848414570755,0.007997121036426887,0.08396977088248231,584.0,1106.0,481.0,1041.0,,,,,387.0,892.0,416.0,808.0
"Albion College, US",US,Other,0.049983338887037654,0.3665444851716095,0.0,0.41652782405864713,543.0,183.0,609.0,260.0,,,,,355.0,162.0,523.0,209.0
"Albright College, US",US,Other,0.02004610604390097,0.02004610604390097,0.0,0.04009221208780194,777.0,1249.0,609.0,1283.0,,,,,543.0,1012.0,523.0,1017.0
"Alcorn State University, US",US,Other,0.03591739000299311,0.0,0.0,0.03591739000299311,630.0,1583.0,609.0,1315.0,,,,,422.0,1311.0,523.0,1046.0
"Alfred State College, US",US,Other,0.09787928221859707,0.19575856443719414,0.03262642740619902,0.3262642740619902,361.0,412.0,186.0,373.0,,,,,222.0,352.0,159.0,294.0
"Alfred University, US",US,Other,0.00979671809943669,0.09796718099436688,0.03428851334802841,0.14205241244183198,959.0,704.0,182.0,832.0,,,,,715.0,574.0,155.0,635.0
"Algoma University, CA",CA,Other,0.06717478361968737,0.27386642552641777,0.0,0.34104120914610514,462.0,283.0,609.0,350.0,,,,,33.0,17.0,21.0,21.0
